task_id,task_description,creation_date,due_date,priority,task_category,assigned_to,estimated_effort_hours,user_preferred_categories,user_current_workload
28,Explore trends in finance.,2025-03-25,2025-04-11,High,Research,Yara,1,"Admin, Development",6
29,Schedule meeting with CTO.,2025-06-30,2025-07-27,Medium,Admin,Henry,12,"Admin, Support",8
30,Schedule meeting with CEO.,2025-03-13,,High,Admin,Uma,4,"Finance, Admin",1
31,Prepare pitch for AI Tool.,2025-04-02,2025-04-10,High,Marketing,Grace,12,Marketing,0
32,Write review on DL models.,2025-02-14,,Medium,Research,Mia,6,Research,0
33,Manage supplies for HQ.,2025-02-18,2025-02-20,Medium,Admin,Yara,11,"Admin, Development",6
34,Deploy v1.7 to production.,2025-05-13,2025-06-11,High,Development,Noah,6,"Research, Development",4
35,Resolve ticket #TKT-5699 on login.,2025-03-17,2025-04-06,High,Support,Bob,5,Support,0
36,Follow up with Client A.,2025-06-29,,Critical,Support,Lily,6,"Research, Support",2
37,Explore trends in tech.,2025-06-18,2025-07-18,High,Research,Alex,10,Research,8
38,Update guide on reset password.,2025-02-28,2025-03-11,Critical,Support,Lily,11,"Research, Support",2
39,Plan HR activity for Q3.,2025-05-24,,Medium,HR,Isaac,3,"Marketing, HR",2
40,Schedule interview for Dev.,2025-02-15,,Medium,HR,Jessica,6,HR,7
41,Review QQ2 budget report.,2025-05-03,2025-06-02,Low,Finance,Oscar,12,Finance,2
42,Reconcile travel fund records.,2025-03-09,2025-03-22,High,Finance,Emily,4,"HR, Finance",1
43,Deploy v1.7 to production.,2025-03-24,2025-04-09,Low,Development,Liam,6,Development,0
44,Process payroll for Jan.,2025-06-21,2025-07-15,Low,Finance,Eve,5,"Finance, HR",5
45,Fix bug #210 in UI.,2025-05-03,2025-05-28,Critical,Development,Frank,11,"HR, Support",6
46,Build prototype for edge AI.,2025-02-17,,Low,Research,Ivy,3,Admin,4
47,Optimize encryption performance.,2025-05-01,2025-05-15,Low,Development,David,2,Development,6
48,Assist with analytics.,2025-02-20,2025-02-23,Low,Support,Tina,7,Development,0
49,Review QQ2 budget report.,2025-02-25,2025-03-13,Critical,Finance,Oscar,7,Finance,2
50,Organize legal files.,2025-07-24,2025-08-18,Low,Admin,Zoe,8,Admin,1
51,Audit petty cash expenses.,2025-07-05,2025-07-17,High,Finance,Isaac,9,"Marketing, HR",2
52,Prepare pitch for AI Tool.,2025-05-06,,Low,Marketing,Victor,6,"HR, Finance",1
53,Fix bug #550 in UI.,2025-02-01,2025-03-03,Critical,Development,Kevin,8,Development,7
54,Write review on DL models.,2025-05-06,2025-05-24,Medium,Research,Mia,2,Research,0
55,Update travel log for Chris W..,2025-02-18,2025-02-21,Medium,Admin,Emily,3,"HR, Finance",1
56,Explore trends in tech.,2025-04-22,2025-04-24,Low,Research,Sam,5,Research,1
57,Explore trends in tech.,2025-04-24,2025-05-12,Critical,Research,Chloe,12,"Research, Support",7
58,Implement dashboard in backend.,2025-03-03,,Critical,Development,Yara,6,"Admin, Development",6
59,Follow up with Client A.,2025-07-06,2025-07-07,Medium,Support,Lily,7,"Research, Support",2
60,Optimize search performance.,2025-02-27,2025-03-06,Critical,Development,David,1,Development,6
61,Implement login in API.,2025-06-02,2025-06-13,Low,Development,Rachel,8,"Research, Development",2
62,Follow up with Client A.,2025-02-18,2025-03-01,Low,Support,Eve,12,"Finance, HR",5
63,Optimize encryption performance.,2025-05-23,2025-05-30,Low,Development,Liam,7,Development,0
64,Explore trends in tech.,2025-06-10,2025-07-08,Low,Research,Olivia,8,Research,3
65,Organize finance files.,2025-05-31,2025-06-13,Critical,Admin,Alice,12,Admin,3
66,Design assets for Product Launch.,2025-07-05,2025-07-09,Critical,Marketing,Yara,10,"Admin, Development",6
67,Audit petty cash expenses.,2025-05-09,2025-05-31,High,Finance,Oscar,3,Finance,2
68,Update records for address update.,2025-03-15,2025-04-03,High,HR,Frank,3,"HR, Support",6
69,Prepare pitch for ServiceX.,2025-02-08,2025-02-10,Low,Marketing,Grace,6,Marketing,0
70,Review QQ1 budget report.,2025-07-11,2025-07-14,High,Finance,Victor,12,"HR, Finance",1
71,Update records for address update.,2025-06-02,2025-06-30,High,HR,Alex,7,Research,8
72,Research Vision methods.,2025-04-09,,Critical,Research,Rachel,11,"Research, Development",2
73,Process payroll for Feb.,2025-03-08,2025-03-23,Critical,Finance,Chloe,6,"Research, Support",7
74,Prepare pitch for AI Tool.,2025-06-21,2025-07-19,Medium,Marketing,Felix,8,Finance,6
75,Onboard new hire John Doe.,2025-03-26,2025-03-31,High,HR,Isaac,4,"Marketing, HR",2
76,Fix bug #885 in auth.,2025-06-22,2025-07-08,High,Development,Liam,11,Development,0
77,Update guide on troubleshoot.,2025-02-05,2025-02-27,Low,Support,Alex,12,Research,8
78,Onboard new hire Jane Smith.,2025-06-05,2025-07-01,Medium,HR,Jessica,8,HR,7
79,Schedule meeting with CEO.,2025-02-11,2025-02-22,Critical,Admin,Bob,1,Support,0
80,Process payroll for Mar.,2025-03-03,,Medium,Finance,Karen,10,Support,7
81,Explore trends in tech.,2025-05-01,,Critical,Research,Chloe,12,"Research, Support",7
82,Design assets for Product Launch.,2025-03-17,2025-03-28,Medium,Marketing,Natalie,2,Finance,7
83,Schedule meeting with CTO.,2025-07-16,,Medium,Admin,Wendy,11,Research,1
84,Design assets for Product Launch.,2025-03-20,,Critical,Marketing,Charlie,3,"Marketing, Admin",4
85,Explore trends in tech.,2025-06-11,2025-07-04,Critical,Research,Karen,12,Support,7
86,Optimize encryption performance.,2025-05-09,2025-06-05,High,Development,Emily,6,"HR, Finance",1
87,Analyze QQ4 campaign data.,2025-06-22,2025-07-10,Medium,Marketing,Peter,7,Development,8
88,Write review on ML trends.,2025-06-21,,Medium,Research,Chloe,5,"Research, Support",7
89,Reconcile petty cash records.,2025-05-12,2025-06-11,Low,Finance,Peter,2,Development,8
90,Build prototype for blockchain.,2025-04-27,2025-05-09,Medium,Research,Noah,3,"Research, Development",4
91,Review QQ3 budget report.,2025-07-13,2025-08-08,Low,Finance,Victor,4,"HR, Finance",1
92,Write review on DL models.,2025-04-30,2025-05-22,High,Research,Olivia,7,Research,3
93,Review QQ3 budget report.,2025-03-26,2025-04-11,Medium,Finance,Chloe,11,"Research, Support",7
94,Plan HR activity for Q2.,2025-04-23,2025-05-01,Medium,HR,Jessica,6,HR,7
95,Update records for address update.,2025-05-26,,Low,HR,Victor,12,"HR, Finance",1
96,Manage supplies for HQ.,2025-06-28,2025-07-22,Critical,Admin,Frank,6,"HR, Support",6
97,Update guide on reset password.,2025-06-01,2025-06-18,Critical,Support,Frank,8,"HR, Support",6
98,Manage supplies for Branch A.,2025-05-17,2025-05-20,Medium,Admin,Alice,2,Admin,3
99,Manage supplies for Branch A.,2025-04-22,2025-05-13,High,Admin,Jack,11,Admin,8
100,Refactor auth module.,2025-02-12,,Critical,Development,Mark,3,"Research, Development",0
101,Plan HR activity for Q4.,2025-06-07,2025-06-21,Critical,HR,Frank,1,"HR, Support",6
102,Manage supplies for HQ.,2025-07-18,2025-08-06,Medium,Admin,Alice,6,Admin,3
103,Analyze QQ1 campaign data.,2025-03-25,,High,Marketing,Grace,2,Marketing,0
104,Reconcile petty cash records.,2025-05-18,2025-05-28,High,Finance,Oscar,11,Finance,2
105,Explore trends in finance.,2025-04-13,,Low,Research,Wendy,4,Research,1
106,Review QQ4 budget report.,2025-02-16,2025-03-01,Medium,Finance,Noah,11,"Research, Development",4
107,Organize finance files.,2025-05-06,2025-05-18,Low,Admin,Jack,7,Admin,8
108,Refactor auth module.,2025-02-11,2025-03-07,Medium,Development,Rachel,11,"Research, Development",2
109,Review QQ2 budget report.,2025-01-28,2025-02-12,Medium,Finance,Felix,8,Finance,6
110,Refactor payment handler.,2025-03-22,2025-04-19,High,Development,Charlie,5,"Marketing, Admin",4
111,Update records for address update.,2025-02-26,2025-03-16,Medium,HR,Isaac,10,"Marketing, HR",2
112,Refactor auth module.,2025-02-10,2025-03-12,High,Development,Liam,9,Development,0
113,Update guide on troubleshoot.,2025-02-15,2025-03-10,Medium,Support,Olivia,8,Research,3
114,Prepare pitch for AI Tool.,2025-07-17,2025-07-30,High,Marketing,Wendy,1,Research,1
115,Update records for promotion.,2025-04-29,2025-05-20,Low,HR,Noah,6,"Research, Development",4
116,Audit petty cash expenses.,2025-02-18,2025-03-19,Critical,Finance,Chloe,9,"Research, Support",7
117,Review QQ2 budget report.,2025-03-16,,Low,Finance,Tina,6,Development,0
118,Review QQ1 budget report.,2025-03-31,2025-04-06,Critical,Finance,Oscar,8,Finance,2
119,Schedule interview for Dev.,2025-06-16,2025-07-16,High,HR,Henry,1,"Admin, Support",8
120,Explore trends in finance.,2025-06-14,2025-07-13,Medium,Research,Mia,9,Research,0
121,Fix bug #319 in UI.,2025-04-28,2025-05-12,Critical,Development,Liam,12,Development,0
122,Optimize encryption performance.,2025-01-26,2025-02-09,Low,Development,Kevin,1,Development,7
123,Deploy v1.7 to production.,2025-05-12,,Medium,Development,Chloe,10,"Research, Support",7
124,Fix bug #155 in auth.,2025-03-30,,Medium,Development,Peter,2,Development,8
125,Review QQ3 budget report.,2025-07-13,2025-07-28,Critical,Finance,Eve,1,"Finance, HR",5
126,Write review on ML trends.,2025-05-15,2025-05-22,High,Research,Noah,1,"Research, Development",4
127,Deploy v1.7 to production.,2025-02-05,2025-02-12,Low,Development,Mark,10,"Research, Development",0
128,Resolve ticket #TKT-2624 on login.,2025-02-06,2025-02-08,High,Support,Lily,4,"Research, Support",2
129,Reconcile petty cash records.,2025-02-18,2025-03-12,Critical,Finance,Ben,10,Finance,8
130,Update guide on troubleshoot.,2025-01-29,,Critical,Support,Noah,6,"Research, Development",4
131,Build prototype for edge AI.,2025-04-01,2025-04-26,High,Research,Oscar,7,Finance,2
132,Refactor auth module.,2025-06-11,,Low,Development,Hannah,11,Research,1
133,Research Vision methods.,2025-07-04,2025-07-07,Low,Research,Daniel,9,Research,4
134,Optimize encryption performance.,2025-02-10,2025-02-18,High,Development,Kevin,7,Development,7
135,Draft newsletter on new features.,2025-07-11,,Critical,Marketing,Quinn,10,Research,2
136,Build prototype for edge AI.,2025-06-20,2025-06-30,Low,Research,Quinn,12,Research,2
137,Update records for address update.,2025-06-05,,Critical,HR,Jessica,1,HR,7
138,Process payroll for Jan.,2025-03-15,2025-04-13,Low,Finance,Emily,5,"HR, Finance",1
139,Organize finance files.,2025-04-30,,Medium,Admin,Noah,6,"Research, Development",4
140,Optimize encryption performance.,2025-05-06,2025-06-01,Critical,Development,Wendy,12,Research,1
141,Research NLP methods.,2025-03-16,2025-03-31,Low,Research,Quinn,11,Research,2
142,Schedule meeting with CTO.,2025-06-09,2025-06-24,Critical,Admin,Mia,11,Research,0
143,Fix bug #550 in auth.,2025-06-20,,Medium,Development,Noah,9,"Research, Development",4
144,Research Vision methods.,2025-05-02,2025-05-06,Medium,Research,Quinn,9,Research,2
145,Design assets for Product Launch.,2025-05-19,2025-06-01,Critical,Marketing,Charlie,6,"Marketing, Admin",4
146,Implement dashboard in API.,2025-07-19,2025-07-26,Medium,Development,Tina,1,Development,0
147,Update guide on troubleshoot.,2025-05-20,2025-05-25,High,Support,Bob,12,Support,0
148,Manage supplies for Branch A.,2025-03-26,2025-04-03,Low,Admin,Zoe,5,Admin,1
149,Plan HR activity for Q1.,2025-04-30,2025-05-11,High,HR,Eve,6,"Finance, HR",5
150,Onboard new hire Jane Smith.,2025-05-28,,Critical,HR,Isaac,11,"Marketing, HR",2
151,Schedule meeting with CTO.,2025-03-23,2025-04-15,Low,Admin,Bob,11,Support,0
152,Build prototype for blockchain.,2025-01-29,2025-02-08,Medium,Research,Alex,12,Research,8
153,Reconcile travel fund records.,2025-04-17,2025-05-12,High,Finance,Natalie,7,Finance,7
154,Implement dashboard in backend.,2025-06-12,2025-07-03,Medium,Development,Liam,3,Development,0
155,Plan HR activity for Q4.,2025-06-01,2025-06-28,Low,HR,Bob,6,Support,0
156,Optimize search performance.,2025-06-14,2025-07-12,Critical,Development,Uma,4,"Finance, Admin",1
157,Fix bug #532 in UI.,2025-04-23,2025-05-09,High,Development,David,6,Development,6
158,Refactor payment handler.,2025-04-13,,High,Development,Liam,3,Development,0
159,Review QQ1 budget report.,2025-05-07,2025-05-13,Critical,Finance,Grace,6,Marketing,0
160,Update records for address update.,2025-05-31,2025-06-03,Critical,HR,Natalie,7,Finance,7
161,Analyze QQ1 campaign data.,2025-01-29,2025-02-28,Critical,Marketing,Olivia,1,Research,3
162,Build prototype for edge AI.,2025-06-17,2025-07-13,Low,Research,Wendy,4,Research,1
163,Process payroll for Feb.,2025-04-05,2025-04-10,High,Finance,Chloe,3,"Research, Support",7
164,Organize legal files.,2025-04-20,2025-05-16,High,Admin,Liam,11,Development,0
165,Follow up with Client A.,2025-02-26,2025-03-11,High,Support,Frank,10,"HR, Support",6
166,Draft newsletter on new features.,2025-02-05,2025-03-06,Critical,Marketing,Liam,7,Development,0
167,Review QQ4 budget report.,2025-07-21,2025-08-05,Low,Finance,Natalie,12,Finance,7
168,Resolve ticket #TKT-6857 on billing.,2025-06-26,2025-07-18,High,Support,Chloe,6,"Research, Support",7
169,Update records for address update.,2025-06-28,,Critical,HR,Natalie,10,Finance,7
170,Plan HR activity for Q1.,2025-04-08,2025-04-15,Low,HR,Emily,1,"HR, Finance",1
171,Build prototype for edge AI.,2025-04-12,2025-05-03,High,Research,Olivia,12,Research,3
172,Onboard new hire Jane Smith.,2025-06-25,,Medium,HR,Jessica,7,HR,7
173,Analyze QQ2 campaign data.,2025-03-06,2025-03-15,Critical,Marketing,Quinn,11,Research,2
174,Onboard new hire Jane Smith.,2025-07-23,2025-08-15,Medium,HR,Victor,9,"HR, Finance",1
175,Research Vision methods.,2025-04-30,2025-05-18,Low,Research,Quinn,5,Research,2
176,Research Vision methods.,2025-06-01,2025-06-23,High,Research,Daniel,3,Research,4
177,Write review on DL models.,2025-04-10,,Critical,Research,Alex,12,Research,8
178,Analyze QQ4 campaign data.,2025-06-01,,Medium,Marketing,Charlie,8,"Marketing, Admin",4
179,Schedule interview for Marketer.,2025-07-22,2025-08-13,Low,HR,Ben,11,Finance,8
180,Write review on DL models.,2025-06-09,2025-06-30,High,Research,Hannah,8,Research,1
181,Fix bug #155 in auth.,2025-02-22,2025-03-06,Critical,Development,Peter,6,Development,8
182,Assist with analytics.,2025-03-11,,Low,Support,Bob,12,Support,0
183,Schedule meeting with CEO.,2025-04-19,,Critical,Admin,Alice,11,Admin,3
184,Audit travel fund expenses.,2025-07-23,2025-08-16,Low,Finance,Ben,8,Finance,8
185,Update travel log for Sarah D..,2025-03-11,2025-03-16,Low,Admin,Quinn,9,Research,2
186,Write review on ML trends.,2025-05-01,2025-05-07,High,Research,Lily,1,"Research, Support",2
187,Draft newsletter on new features.,2025-06-11,2025-06-13,Low,Marketing,Henry,8,"Admin, Support",8
188,Follow up with Customer B.,2025-03-22,2025-04-15,High,Support,Karen,4,Support,7
189,Audit petty cash expenses.,2025-06-22,2025-06-23,Low,Finance,Ben,9,Finance,8
190,Optimize search performance.,2025-04-05,2025-05-01,Low,Development,Rachel,3,"Research, Development",2
191,Refactor auth module.,2025-04-18,2025-05-14,High,Development,Peter,10,Development,8
192,Research Vision methods.,2025-04-04,2025-04-19,Critical,Research,Quinn,11,Research,2
193,Update records for promotion.,2025-05-19,2025-06-11,Critical,HR,Rachel,11,"Research, Development",2
194,Review QQ3 budget report.,2025-02-14,2025-03-03,Medium,Finance,Uma,11,"Finance, Admin",1
195,Reconcile petty cash records.,2025-02-25,,Low,Finance,Grace,10,Marketing,0
196,Analyze QQ4 campaign data.,2025-07-02,2025-07-26,Low,Marketing,Jessica,11,HR,7
197,Build prototype for blockchain.,2025-05-04,2025-05-20,Medium,Research,Olivia,7,Research,3
198,Onboard new hire John Doe.,2025-05-01,2025-05-27,Low,HR,Victor,2,"HR, Finance",1
199,Update travel log for Sarah D..,2025-06-15,2025-07-11,Medium,Admin,Jack,2,Admin,8
200,Update travel log for Chris W..,2025-06-01,2025-06-25,Low,Admin,Zoe,12,Admin,1
201,Implement login in API.,2025-07-22,2025-08-06,High,Development,Eve,2,"Finance, HR",5
202,Schedule meeting with CEO.,2025-03-07,,Critical,Admin,Ivy,5,Admin,4
203,Update guide on troubleshoot.,2025-05-21,2025-06-08,Critical,Support,Peter,3,Development,8
204,Design assets for Product Launch.,2025-03-09,,High,Marketing,Jack,2,Admin,8
205,Plan HR activity for Q2.,2025-03-02,,Medium,HR,Ivy,12,Admin,4
206,Manage supplies for HQ.,2025-05-20,2025-06-14,High,Admin,Charlie,8,"Marketing, Admin",4
207,Review QQ1 budget report.,2025-07-05,2025-07-23,Critical,Finance,Emily,12,"HR, Finance",1
208,Onboard new hire Jane Smith.,2025-05-31,2025-06-20,Critical,HR,Victor,11,"HR, Finance",1
209,Implement dashboard in API.,2025-06-17,,Critical,Development,Tina,1,Development,0
210,Analyze QQ4 campaign data.,2025-07-07,2025-08-06,Low,Marketing,Mia,3,Research,0
211,Explore trends in finance.,2025-03-31,2025-04-17,Low,Research,Noah,3,"Research, Development",4
212,Fix bug #595 in UI.,2025-07-10,2025-07-18,Medium,Development,Isaac,8,"Marketing, HR",2
213,Organize legal files.,2025-06-19,2025-07-15,Low,Admin,Zoe,1,Admin,1
214,Review QQ1 budget report.,2025-07-14,2025-08-04,High,Finance,Oscar,10,Finance,2
215,Organize finance files.,2025-03-03,2025-03-12,High,Admin,Jack,10,Admin,8
216,Follow up with Customer B.,2025-03-19,2025-04-17,Low,Support,Mia,8,Research,0
217,Implement dashboard in API.,2025-03-31,2025-04-19,High,Development,Peter,2,Development,8
218,Build prototype for edge AI.,2025-03-14,2025-03-26,Low,Research,Olivia,2,Research,3
219,Prepare pitch for ServiceX.,2025-07-12,,Low,Marketing,David,12,Development,6
220,Design assets for Product Launch.,2025-05-02,2025-05-13,High,Marketing,Karen,11,Support,7
221,Write review on ML trends.,2025-03-08,2025-03-24,Critical,Research,Rachel,6,"Research, Development",2
222,Assist with subscription.,2025-06-26,,Critical,Support,Victor,7,"HR, Finance",1
223,Research NLP methods.,2025-07-10,2025-07-23,Medium,Research,Wendy,1,Research,1
224,Process payroll for Jan.,2025-06-17,2025-06-24,High,Finance,Oscar,1,Finance,2
225,Deploy v1.7 to production.,2025-05-15,2025-05-28,Critical,Development,Liam,1,Development,0
226,Build prototype for edge AI.,2025-05-02,,Medium,Research,Lily,7,"Research, Support",2
227,Implement dashboard in API.,2025-07-25,2025-07-30,Critical,Development,Ivy,5,Admin,4
228,Schedule interview for Dev.,2025-02-18,,Medium,HR,Henry,10,"Admin, Support",8
229,Follow up with Client A.,2025-02-11,2025-03-10,High,Support,Karen,11,Support,7
230,Implement login in API.,2025-01-29,,Critical,Development,Xavier,6,Development,3
231,Update records for promotion.,2025-06-20,2025-06-21,High,HR,Jessica,2,HR,7
232,Process payroll for Feb.,2025-04-09,2025-05-05,Critical,Finance,Isaac,1,"Marketing, HR",2
233,Refactor payment handler.,2025-03-09,2025-03-24,High,Development,Ivy,9,Admin,4
234,Resolve ticket #TKT-5106 on login.,2025-05-05,2025-05-22,Critical,Support,Bob,6,Support,0
235,Research Vision methods.,2025-04-06,2025-04-21,High,Research,Olivia,3,Research,3
236,Audit travel fund expenses.,2025-07-05,2025-07-26,Critical,Finance,Natalie,5,Finance,7
237,Explore trends in finance.,2025-06-26,2025-07-04,Medium,Research,Daniel,1,Research,4
238,Explore trends in tech.,2025-03-13,2025-03-28,Medium,Research,Lily,9,"Research, Support",2
239,Onboard new hire John Doe.,2025-03-16,,Medium,HR,Alex,6,Research,8
240,Organize legal files.,2025-07-22,2025-07-24,Critical,Admin,Alice,6,Admin,3
241,Update guide on troubleshoot.,2025-01-26,2025-02-25,Low,Support,Charlie,6,"Marketing, Admin",4
242,Process payroll for Jan.,2025-03-06,2025-03-23,High,Finance,Rachel,1,"Research, Development",2
243,Build prototype for blockchain.,2025-03-14,2025-04-11,Critical,Research,Mia,8,Research,0
244,Explore trends in finance.,2025-03-16,2025-03-17,High,Research,Alex,6,Research,8
245,Update guide on reset password.,2025-05-16,,Low,Support,Wendy,8,Research,1
246,Draft newsletter on new features.,2025-01-31,2025-02-23,Critical,Marketing,David,10,Development,6
247,Refactor payment handler.,2025-06-03,2025-06-29,Low,Development,Isaac,11,"Marketing, HR",2
248,Write review on DL models.,2025-04-15,,Low,Research,Chloe,7,"Research, Support",7
249,Manage supplies for Branch A.,2025-07-11,2025-07-31,Low,Admin,Yara,12,"Admin, Development",6
250,Build prototype for blockchain.,2025-05-17,2025-06-09,Medium,Research,Oscar,12,Finance,2
251,Schedule interview for Dev.,2025-06-09,2025-07-06,Low,HR,Frank,8,"HR, Support",6
252,Analyze QQ1 campaign data.,2025-03-01,2025-03-25,Critical,Marketing,Uma,9,"Finance, Admin",1
253,Research Vision methods.,2025-07-22,2025-08-01,Critical,Research,Lily,4,"Research, Support",2
254,Analyze QQ2 campaign data.,2025-07-25,2025-07-28,Medium,Marketing,Alex,4,Research,8
255,Plan HR activity for Q2.,2025-02-03,2025-02-23,Critical,HR,Lily,8,"Research, Support",2
256,Process payroll for Feb.,2025-07-10,2025-07-28,Critical,Finance,Felix,2,Finance,6
257,Research NLP methods.,2025-04-05,2025-04-16,Low,Research,Wendy,6,Research,1
258,Research Vision methods.,2025-05-25,,Critical,Research,Lily,9,"Research, Support",2
259,Research Vision methods.,2025-04-26,2025-05-20,Low,Research,Rachel,4,"Research, Development",2
260,Update travel log for Chris W..,2025-02-17,2025-02-24,Critical,Admin,Jack,8,Admin,8
261,Prepare pitch for AI Tool.,2025-03-26,2025-04-13,High,Marketing,Grace,3,Marketing,0
262,Manage supplies for HQ.,2025-07-17,,Medium,Admin,Charlie,2,"Marketing, Admin",4
263,Implement dashboard in API.,2025-06-29,2025-07-12,Medium,Development,Wendy,11,Research,1
264,Process payroll for Mar.,2025-06-12,2025-06-16,High,Finance,Mark,6,"Research, Development",0
265,Resolve ticket #TKT-9258 on login.,2025-05-24,,Critical,Support,Felix,10,Finance,6
266,Resolve ticket #TKT-8308 on billing.,2025-03-12,2025-04-08,Critical,Support,Henry,2,"Admin, Support",8
267,Follow up with Customer B.,2025-06-11,2025-06-25,Medium,Support,Lily,11,"Research, Support",2
268,Update travel log for Chris W..,2025-04-13,2025-04-29,Medium,Admin,Zoe,11,Admin,1
269,Research NLP methods.,2025-04-23,2025-04-24,Medium,Research,Olivia,9,Research,3
270,Research Vision methods.,2025-03-31,2025-04-30,Low,Research,Lily,3,"Research, Support",2
271,Refactor auth module.,2025-05-21,2025-06-09,Medium,Development,David,7,Development,6
272,Deploy v1.7 to production.,2025-03-15,2025-03-27,Critical,Development,David,11,Development,6
273,Refactor payment handler.,2025-04-25,2025-05-04,High,Development,Olivia,11,Research,3
274,Explore trends in finance.,2025-07-08,,High,Research,Natalie,11,Finance,7
275,Research NLP methods.,2025-07-13,,Low,Research,Hannah,8,Research,1
276,Write review on ML trends.,2025-06-04,2025-06-11,Medium,Research,Sam,11,Research,1
277,Resolve ticket #TKT-5699 on login.,2025-07-04,,Critical,Support,Chloe,11,"Research, Support",7
278,Design assets for Product Launch.,2025-02-27,2025-03-29,Medium,Marketing,Ben,10,Finance,8
279,Audit petty cash expenses.,2025-02-24,2025-03-17,Critical,Finance,Felix,5,Finance,6
280,Resolve ticket #TKT-5699 on login.,2025-03-08,2025-03-27,High,Support,Natalie,10,Finance,7
281,Deploy v1.7 to production.,2025-06-21,2025-07-15,High,Development,Karen,1,Support,7
282,Update travel log for Chris W..,2025-03-18,,Medium,Admin,Liam,10,Development,0
283,Update travel log for Sarah D..,2025-04-28,2025-05-06,High,Admin,Charlie,11,"Marketing, Admin",4
284,Assist with subscription.,2025-06-11,,High,Support,Liam,5,Development,0
285,Follow up with Client A.,2025-02-24,2025-03-25,Medium,Support,Alex,4,Research,8
286,Deploy v1.7 to production.,2025-02-06,2025-02-07,Medium,Development,David,7,Development,6
287,Manage supplies for Branch A.,2025-06-25,2025-07-21,Medium,Admin,Charlie,12,"Marketing, Admin",4
288,Refactor auth module.,2025-03-16,2025-04-09,Low,Development,Xavier,12,Development,3
289,Write review on ML trends.,2025-05-08,2025-05-27,Low,Research,Mia,5,Research,0
290,Research NLP methods.,2025-02-09,2025-03-07,High,Research,Mia,6,Research,0
291,Draft newsletter on company news.,2025-03-05,,Medium,Marketing,Grace,12,Marketing,0
292,Process payroll for Mar.,2025-06-22,2025-07-04,Low,Finance,Victor,5,"HR, Finance",1
293,Organize finance files.,2025-05-27,2025-06-04,High,Admin,Chloe,12,"Research, Support",7
294,Write review on DL models.,2025-04-07,2025-04-17,Medium,Research,Quinn,4,Research,2
295,Analyze QQ3 campaign data.,2025-06-26,2025-07-04,Low,Marketing,Noah,3,"Research, Development",4
296,Manage supplies for HQ.,2025-04-10,2025-05-01,Low,Admin,Jack,7,Admin,8
297,Research NLP methods.,2025-03-15,2025-03-16,Critical,Research,Karen,5,Support,7
298,Review QQ3 budget report.,2025-05-05,,Medium,Finance,Grace,4,Marketing,0
