task_id,task_description,creation_date,due_date,priority,task_category,assigned_to,estimated_effort_hours,user_preferred_categories,user_past_completion_time_avg_hours,user_current_workload
65,Analyze market trends for healthcare.,2025-03-12,,Low,Research,Noah,6,"HR, Research",9.40024889822967,3
66,Reconcile travel budget statements.,2025-02-03,2025-02-08,High,Finance,Lily,12,"Finance, Support",5.13164526027243,4
67,Review QQ4 budget report.,2025-02-23,2025-03-12,High,Finance,Charlie,8,"Finance, Admin",5.468591858102769,7
68,Develop prototype for edge AI.,2025-01-22,2025-02-08,Medium,Research,Jack,11,"Admin, Research",5.860282541589919,3
69,Research competitor Competitor B.,2025-05-17,2025-06-09,Critical,Marketing,Grace,16,Marketing,4.018330924725743,8
70,Refactor payment gateway.,2025-03-31,2025-04-23,Low,Development,Oscar,5,Development,5.266581894916864,8
71,Research competitor Competitor A.,2025-05-01,,Low,Marketing,Natalie,5,"Finance, Marketing",4.517745395195611,3
72,Optimize encryption for performance.,2025-01-29,2025-02-26,Medium,Development,Quinn,8,"Development, Support",3.464227970981211,4
73,Analyze QQ2 marketing spend.,2025-03-05,2025-03-13,Low,Marketing,Emily,8,"HR, Marketing",6.308737343217359,5
74,Draft email newsletter for company news.,2025-03-18,2025-04-04,Critical,Marketing,Eve,11,"Marketing, Development",8.954401079151518,3
75,Prepare payroll for January.,2025-02-11,2025-03-09,Low,Finance,Ivy,7,Finance,4.695706517915235,8
76,Update employee records for address change.,2025-04-22,2025-05-07,Medium,HR,Zoe,4,Finance,3.529851632961227,4
77,Analyze market trends for finance.,2025-02-24,2025-02-28,Critical,Research,Wendy,15,"Admin, Research",6.105603273126828,8
78,Coordinate travel arrangements for Chris Wilson.,2025-06-08,2025-06-18,Critical,Admin,Uma,14,Admin,8.640243477370621,2
79,Escalate complex issue to Tier 2 Support.,2025-05-21,,High,Support,Karen,11,Support,9.855336239448196,3
80,Organize company documents for project.,2025-01-23,,Medium,Admin,Karen,1,Support,9.855336239448196,3
81,Update knowledge base article on password reset.,2025-02-05,2025-03-07,Medium,Support,Henry,2,"HR, Marketing",6.726911864478398,2
82,Research new AI algorithms for natural language processing.,2025-03-15,2025-03-22,High,Research,Tina,9,"Support, Development",3.6216459635052445,8
83,Conduct user interviews for search functionality.,2025-05-24,2025-05-26,Medium,Research,Alice,11,"Support, Marketing",8.55145246285532,1
84,Process invoices for Sales.,2025-03-17,2025-03-29,High,Finance,Ivy,6,Finance,4.695706517915235,8
85,Update knowledge base article on troubleshooting guide.,2025-02-22,2025-03-03,Critical,Support,Tina,9,"Support, Development",3.6216459635052445,8
86,Provide technical assistance for subscription management.,2025-07-14,2025-07-18,Medium,Support,Tina,3,"Support, Development",3.6216459635052445,8
87,Research competitor Competitor A.,2025-04-22,2025-04-27,Medium,Marketing,Jessica,8,Admin,9.674887732588516,7
88,Refactor authentication module.,2025-06-19,2025-06-30,Critical,Development,Isaac,14,Development,8.761894137397698,5
89,Analyze market trends for healthcare.,2025-02-08,2025-03-09,High,Research,Felix,5,Development,6.326325553825599,5
90,Follow up on pending Client A request.,2025-03-13,2025-03-22,Critical,Support,Alice,10,"Support, Marketing",8.55145246285532,1
91,Resolve customer ticket #TKT-2798 for login issue.,2025-04-29,2025-05-17,High,Support,Karen,5,Support,9.855336239448196,3
92,Escalate complex issue to Tier 2 Support.,2025-05-31,2025-06-22,Medium,Support,Tina,6,"Support, Development",3.6216459635052445,8
93,Review QQ2 budget report.,2025-04-28,2025-05-20,High,Finance,Alex,7,Finance,9.579854647699872,6
94,Create social media campaign for Software Suite.,2025-07-01,2025-07-19,Low,Marketing,Liam,8,"Marketing, Finance",7.646306669857175,7
95,Analyze market trends for healthcare.,2025-02-12,2025-02-13,Medium,Research,Rachel,10,Research,6.307802224356129,7
96,Provide technical assistance for subscription management.,2025-03-26,2025-04-13,High,Support,Victor,7,Support,9.846408648143122,5
97,Create social media campaign for AI Tool.,2025-05-12,,High,Marketing,Bob,9,Marketing,7.569853667031811,8
98,Audit QQ2 expenses.,2025-01-26,,High,Finance,Peter,10,"Marketing, Finance",4.826433608766385,5
99,Research competitor Competitor A.,2025-06-20,,Critical,Marketing,Emily,15,"HR, Marketing",6.308737343217359,5
100,Research competitor Competitor A.,2025-02-26,,Critical,Marketing,Bob,14,Marketing,7.569853667031811,8
101,Analyze QQ1 marketing spend.,2025-03-02,2025-03-26,High,Marketing,Daniel,9,"Support, Marketing",9.116648644946071,6
102,Analyze market trends for tech.,2025-05-26,2025-06-20,Low,Research,Lily,10,"Finance, Support",5.13164526027243,4
103,Research competitor Competitor B.,2025-01-23,2025-01-31,Low,Marketing,Chloe,8,Finance,5.175381946852099,8
104,Draft new HR policy.,2025-05-16,2025-06-05,Medium,HR,Lily,8,"Finance, Support",5.13164526027243,4
105,Resolve customer ticket #TKT-4989 for software bug.,2025-04-13,2025-05-09,High,Support,Tina,4,"Support, Development",3.6216459635052445,8
106,Optimize sorting for performance.,2025-02-10,,Low,Development,Jack,15,"Admin, Research",5.860282541589919,3
107,Write unit tests for calculate_total.,2025-02-07,2025-02-26,High,Development,Wendy,7,"Admin, Research",6.105603273126828,8
108,Schedule interviews for Software Engineer.,2025-06-28,2025-07-23,Low,HR,Lily,4,"Finance, Support",5.13164526027243,4
109,Audit QQ2 expenses.,2025-04-25,2025-05-10,High,Finance,Jessica,11,Admin,9.674887732588516,7
110,Prepare payroll for April.,2025-02-11,2025-02-25,Critical,Finance,Natalie,21,"Finance, Marketing",4.517745395195611,3
111,Manage facility maintenance.,2025-05-02,2025-05-22,Critical,Admin,Ben,8,Admin,4.809463841776423,8
112,Implement dashboard in the frontend.,2025-04-16,2025-05-09,Critical,Development,David,13,"Development, Marketing",7.17565478893349,6
113,Develop prototype for edge AI.,2025-03-19,,High,Research,Wendy,5,"Admin, Research",6.105603273126828,8
114,Draft email newsletter for company news.,2025-04-15,2025-05-09,Critical,Marketing,Hannah,8,"Marketing, Development",8.616576794366768,1
115,Review QQ4 budget report.,2025-07-01,2025-07-20,Low,Finance,Charlie,2,"Finance, Admin",5.468591858102769,7
116,Create social media campaign for Software Suite.,2025-06-22,2025-07-06,Medium,Marketing,Tina,2,"Support, Development",3.6216459635052445,8
117,Order office supplies for Branch A.,2025-06-12,,Medium,Admin,Natalie,7,"Finance, Marketing",4.517745395195611,3
118,Provide technical assistance for reporting tools.,2025-03-24,2025-03-31,Medium,Support,Hannah,4,"Marketing, Development",8.616576794366768,1
119,Deploy v3.0 to production.,2025-06-17,2025-07-12,Medium,Development,Grace,5,Marketing,4.018330924725743,8
120,Prepare presentation for Product Launch.,2025-04-24,2025-05-21,Critical,Marketing,Yara,23,Marketing,9.16830741477354,1
121,Reconcile petty cash statements.,2025-07-10,2025-08-06,High,Finance,Felix,10,Development,6.326325553825599,5
122,Reconcile petty cash statements.,2025-03-14,2025-03-23,Medium,Finance,Ivy,3,Finance,4.695706517915235,8
123,Manage facility maintenance.,2025-06-15,2025-07-15,Low,Admin,Jack,6,"Admin, Research",5.860282541589919,3
124,Analyze QQ3 marketing spend.,2025-02-24,2025-03-01,Medium,Marketing,David,6,"Development, Marketing",7.17565478893349,6
125,Provide technical assistance for subscription management.,2025-03-20,2025-03-26,Medium,Support,Alice,2,"Support, Marketing",8.55145246285532,1
126,Analyze QQ3 marketing spend.,2025-03-03,2025-03-23,Medium,Marketing,Chloe,4,Finance,5.175381946852099,8
127,Prepare literature review on machine learning trends.,2025-05-04,2025-05-25,High,Research,Rachel,6,Research,6.307802224356129,7
128,Organize company documents for financial.,2025-06-10,,Low,Admin,Ben,6,Admin,4.809463841776423,8
129,Audit QQ2 expenses.,2025-04-08,2025-04-09,Medium,Finance,Liam,4,"Marketing, Finance",7.646306669857175,7
130,Develop prototype for edge AI.,2025-01-30,2025-02-15,Critical,Research,Kevin,5,"Marketing, Research",4.862091593477015,7
131,Process invoices for IT.,2025-06-22,2025-07-17,Medium,Finance,Alex,1,Finance,9.579854647699872,6
132,Prepare presentation for Product Launch.,2025-07-14,,Critical,Marketing,Karen,10,Support,9.855336239448196,3
133,Prepare payroll for June.,2025-03-27,2025-04-20,Critical,Finance,Alex,9,Finance,9.579854647699872,6
134,Refactor payment gateway.,2025-07-12,2025-07-17,High,Development,Mia,8,"Finance, Research",9.029520330371653,8
135,Analyze market trends for healthcare.,2025-05-24,2025-06-02,Medium,Research,Kevin,8,"Marketing, Research",4.862091593477015,7
136,Escalate complex issue to Tier 2 Support.,2025-03-06,2025-03-28,High,Support,Karen,11,Support,9.855336239448196,3
137,Analyze QQ3 marketing spend.,2025-04-02,2025-04-27,High,Marketing,Isaac,9,Development,8.761894137397698,5
138,Prepare payroll for April.,2025-04-05,2025-05-04,Low,Finance,Frank,1,"Finance, Admin",4.461671526421454,5
139,Review QQ1 budget report.,2025-04-30,2025-05-04,Medium,Finance,Lily,5,"Finance, Support",5.13164526027243,4
140,Analyze QQ4 marketing spend.,2025-05-30,2025-06-04,High,Marketing,Natalie,10,"Finance, Marketing",4.517745395195611,3
141,Fix bug #644 in database.,2025-02-27,2025-03-28,Medium,Development,Oscar,11,Development,5.266581894916864,8
142,Reconcile travel budget statements.,2025-07-03,2025-07-31,Medium,Finance,Chloe,2,Finance,5.175381946852099,8
143,Develop prototype for edge AI.,2025-03-17,,Critical,Research,Wendy,6,"Admin, Research",6.105603273126828,8
144,Create social media campaign for Service X.,2025-02-18,2025-02-25,Low,Marketing,Daniel,4,"Support, Marketing",9.116648644946071,6
145,Analyze market trends for tech.,2025-06-20,,Low,Research,Wendy,12,"Admin, Research",6.105603273126828,8
146,Optimize search for performance.,2025-06-24,2025-07-12,Critical,Development,Quinn,15,"Development, Support",3.464227970981211,4
147,Follow up on pending Customer B request.,2025-05-23,2025-06-20,Critical,Support,Quinn,17,"Development, Support",3.464227970981211,4
148,Manage facility maintenance.,2025-03-11,2025-03-12,Low,Admin,Ben,2,Admin,4.809463841776423,8
149,Draft new HR policy.,2025-04-11,2025-04-17,Medium,HR,Lily,5,"Finance, Support",5.13164526027243,4
150,Audit QQ3 expenses.,2025-04-24,,High,Finance,Liam,6,"Marketing, Finance",7.646306669857175,7
151,Research competitor Competitor B.,2025-06-11,2025-07-11,Low,Marketing,Hannah,4,"Marketing, Development",8.616576794366768,1
152,Update employee records for address change.,2025-05-04,2025-05-22,High,HR,Emily,4,"HR, Marketing",6.308737343217359,5
153,Manage facility maintenance.,2025-03-29,2025-04-19,High,Admin,Olivia,7,"Admin, Research",7.589919813439466,6
154,Fix bug #309 in database.,2025-04-25,2025-05-25,High,Development,Quinn,12,"Development, Support",3.464227970981211,4
155,Analyze QQ2 marketing spend.,2025-03-08,2025-03-11,High,Marketing,David,4,"Development, Marketing",7.17565478893349,6
156,Update knowledge base article on troubleshooting guide.,2025-02-21,2025-03-04,Critical,Support,Victor,12,Support,9.846408648143122,5
157,Resolve customer ticket #TKT-2798 for login issue.,2025-03-17,2025-03-31,Critical,Support,Liam,19,"Marketing, Finance",7.646306669857175,7
158,Implement login in the frontend.,2025-05-22,2025-06-03,Critical,Development,Felix,5,Development,6.326325553825599,5
159,Research new AI algorithms for computer vision.,2025-04-11,2025-04-27,Critical,Research,Tina,10,"Support, Development",3.6216459635052445,8
160,Research competitor Competitor B.,2025-03-15,2025-03-31,Critical,Marketing,Grace,10,Marketing,4.018330924725743,8
161,Coordinate travel arrangements for Sarah Davis.,2025-06-02,2025-06-28,Medium,Admin,Frank,5,"Finance, Admin",4.461671526421454,5
162,Write unit tests for calculate_total.,2025-03-02,2025-03-22,Medium,Development,Xavier,6,"Development, Finance",7.64239563058834,1
163,Draft email newsletter for latest features.,2025-03-18,2025-04-10,Critical,Marketing,Bob,15,Marketing,7.569853667031811,8
164,Escalate complex issue to Development Team.,2025-07-01,,Critical,Support,Natalie,21,"Finance, Marketing",4.517745395195611,3
165,Review QQ2 budget report.,2025-02-01,2025-02-09,High,Finance,Peter,4,"Marketing, Finance",4.826433608766385,5
166,Draft email newsletter for company news.,2025-06-02,2025-06-13,Critical,Marketing,Mark,18,Marketing,3.272879263443162,6
167,Fix bug #630 in database.,2025-03-30,2025-03-31,Medium,Development,Hannah,15,"Marketing, Development",8.616576794366768,1
168,Onboard new hire Michael Brown.,2025-02-02,2025-02-08,Critical,HR,Isaac,19,Development,8.761894137397698,5
169,Optimize encryption for performance.,2025-06-19,2025-07-15,Medium,Development,Tina,14,"Support, Development",3.6216459635052445,8
170,Analyze QQ2 marketing spend.,2025-07-04,2025-08-01,Medium,Marketing,Oscar,8,Development,5.266581894916864,8
171,Refactor payment gateway.,2025-04-10,2025-04-30,Critical,Development,Xavier,15,"Development, Finance",7.64239563058834,1
172,Organize company documents for project.,2025-04-01,2025-04-27,High,Admin,Ben,4,Admin,4.809463841776423,8
173,Process invoices for IT.,2025-04-24,2025-05-06,Low,Finance,Xavier,2,"Development, Finance",7.64239563058834,1
174,Audit QQ3 expenses.,2025-07-08,2025-07-09,High,Finance,Ivy,10,Finance,4.695706517915235,8
175,Update employee records for promotion.,2025-05-24,2025-06-20,Critical,HR,Noah,20,"HR, Research",9.40024889822967,3
176,Process invoices for IT.,2025-04-27,,Low,Finance,Felix,8,Development,6.326325553825599,5
177,Draft email newsletter for company news.,2025-07-08,,Medium,Marketing,Peter,7,"Marketing, Finance",4.826433608766385,5
178,Conduct user interviews for checkout process.,2025-02-27,2025-03-23,Medium,Research,Xavier,15,"Development, Finance",7.64239563058834,1
179,Fix bug #510 in UI.,2025-04-01,,High,Development,Oscar,14,Development,5.266581894916864,8
180,Review QQ3 budget report.,2025-06-16,2025-07-12,High,Finance,Emily,4,"HR, Marketing",6.308737343217359,5
181,Review QQ3 budget report.,2025-04-10,2025-05-05,Medium,Finance,Noah,8,"HR, Research",9.40024889822967,3
182,Update employee records for address change.,2025-02-24,2025-03-09,Low,HR,Mia,3,"Finance, Research",9.029520330371653,8
183,Manage facility maintenance.,2025-02-13,2025-02-23,Low,Admin,Liam,5,"Marketing, Finance",7.646306669857175,7
184,Conduct user interviews for search functionality.,2025-03-18,,Medium,Research,Ben,12,Admin,4.809463841776423,8
185,Create social media campaign for AI Tool.,2025-06-02,,Low,Marketing,Jessica,3,Admin,9.674887732588516,7
186,Deploy v3.0 to production.,2025-05-03,2025-05-25,Critical,Development,Jessica,9,Admin,9.674887732588516,7
187,Escalate complex issue to Tier 2 Support.,2025-03-23,2025-04-17,High,Support,Karen,5,Support,9.855336239448196,3
188,Reconcile petty cash statements.,2025-06-18,,Medium,Finance,Natalie,8,"Finance, Marketing",4.517745395195611,3
189,Audit QQ3 expenses.,2025-04-18,2025-05-09,Medium,Finance,Victor,8,Support,9.846408648143122,5
190,Manage facility maintenance.,2025-03-10,2025-04-02,Low,Admin,Isaac,8,Development,8.761894137397698,5
191,Develop prototype for blockchain.,2025-05-03,2025-06-02,Critical,Research,Mia,11,"Finance, Research",9.029520330371653,8
192,Optimize sorting for performance.,2025-06-15,2025-06-18,Low,Development,Frank,5,"Finance, Admin",4.461671526421454,5
193,Order office supplies for Branch A.,2025-01-26,,High,Admin,Jessica,11,Admin,9.674887732588516,7
194,Follow up on pending Client A request.,2025-03-01,2025-03-09,High,Support,Tina,11,"Support, Development",3.6216459635052445,8
195,Escalate complex issue to Tier 2 Support.,2025-04-04,2025-04-30,Low,Support,Victor,6,Support,9.846408648143122,5
196,Order office supplies for Headquarters.,2025-06-22,2025-07-20,Medium,Admin,Olivia,3,"Admin, Research",7.589919813439466,6
197,Onboard new hire John Doe.,2025-03-16,2025-03-20,Critical,HR,Jack,8,"Admin, Research",5.860282541589919,3
198,Draft email newsletter for company news.,2025-05-19,2025-05-22,Medium,Marketing,Yara,8,Marketing,9.16830741477354,1
199,Prepare payroll for March.,2025-02-28,2025-03-03,High,Finance,Olivia,7,"Admin, Research",7.589919813439466,6
200,Review QQ4 budget report.,2025-02-24,2025-02-28,Low,Finance,Ivy,8,Finance,4.695706517915235,8
201,Prepare presentation for Annual Summit.,2025-06-07,2025-06-28,Low,Marketing,Grace,5,Marketing,4.018330924725743,8
202,Plan team-building event for Q4.,2025-07-04,2025-07-10,Critical,HR,Karen,12,Support,9.855336239448196,3
203,Reconcile travel budget statements.,2025-04-04,2025-04-10,Low,Finance,Ivy,1,Finance,4.695706517915235,8
204,Analyze QQ1 marketing spend.,2025-05-07,,Critical,Marketing,Natalie,16,"Finance, Marketing",4.517745395195611,3
205,Order office supplies for Headquarters.,2025-04-24,2025-05-03,Critical,Admin,Ben,24,Admin,4.809463841776423,8
206,Order office supplies for Headquarters.,2025-06-29,2025-07-22,Low,Admin,Ben,1,Admin,4.809463841776423,8
207,Update employee records for promotion.,2025-02-25,2025-03-07,Low,HR,Noah,3,"HR, Research",9.40024889822967,3
208,Develop prototype for edge AI.,2025-03-02,2025-03-29,High,Research,Alice,12,"Support, Marketing",8.55145246285532,1
209,Fix bug #763 in database.,2025-05-04,2025-05-29,Critical,Development,Oscar,12,Development,5.266581894916864,8
210,Draft new HR policy.,2025-05-06,2025-05-13,Low,HR,Henry,1,"HR, Marketing",6.726911864478398,2
211,Resolve customer ticket #TKT-2599 for login issue.,2025-05-30,2025-06-07,Critical,Support,Victor,14,Support,9.846408648143122,5
212,Conduct user interviews for search functionality.,2025-02-05,2025-02-18,High,Research,Bob,11,Marketing,7.569853667031811,8
213,Research new AI algorithms for natural language processing.,2025-04-08,2025-04-11,Low,Research,Noah,12,"HR, Research",9.40024889822967,3
214,Draft email newsletter for company news.,2025-07-09,2025-07-10,Critical,Marketing,Liam,9,"Marketing, Finance",7.646306669857175,7
215,Order office supplies for Branch A.,2025-04-05,,Low,Admin,Frank,6,"Finance, Admin",4.461671526421454,5
216,Provide technical assistance for subscription management.,2025-07-19,2025-07-26,Low,Support,Hannah,3,"Marketing, Development",8.616576794366768,1
217,Optimize sorting for performance.,2025-05-17,2025-05-25,Medium,Development,Quinn,6,"Development, Support",3.464227970981211,4
218,Fix bug #309 in database.,2025-07-12,2025-08-04,Critical,Development,Alice,7,"Support, Marketing",8.55145246285532,1
219,Research new AI algorithms for computer vision.,2025-07-18,2025-07-26,Critical,Research,Zoe,6,Finance,3.529851632961227,4
220,Prepare presentation for Product Launch.,2025-06-14,2025-07-01,Medium,Marketing,Mia,3,"Finance, Research",9.029520330371653,8
221,Organize company documents for legal.,2025-05-22,2025-06-21,Low,Admin,Ben,3,Admin,4.809463841776423,8
222,Draft email newsletter for latest features.,2025-03-11,2025-03-25,Low,Marketing,Natalie,7,"Finance, Marketing",4.517745395195611,3
223,Research competitor Competitor B.,2025-07-14,,Low,Marketing,Peter,2,"Marketing, Finance",4.826433608766385,5
224,Analyze market trends for finance.,2025-06-24,2025-07-19,Low,Research,Yara,9,Marketing,9.16830741477354,1
225,Update employee records for address change.,2025-02-18,2025-03-08,Critical,HR,Jack,11,"Admin, Research",5.860282541589919,3
226,Draft email newsletter for company news.,2025-06-12,,High,Marketing,Peter,8,"Marketing, Finance",4.826433608766385,5
227,Resolve customer ticket #TKT-3312 for login issue.,2025-04-09,,Critical,Support,Noah,12,"HR, Research",9.40024889822967,3
228,Fix bug #630 in authentication.,2025-06-03,2025-06-04,High,Development,Quinn,14,"Development, Support",3.464227970981211,4
229,Research new AI algorithms for natural language processing.,2025-01-21,2025-01-26,Critical,Research,Wendy,7,"Admin, Research",6.105603273126828,8
230,Update knowledge base article on troubleshooting guide.,2025-02-24,,Medium,Support,Tina,7,"Support, Development",3.6216459635052445,8
231,Order office supplies for Branch A.,2025-02-05,2025-02-15,Critical,Admin,Olivia,8,"Admin, Research",7.589919813439466,6
232,Reconcile travel budget statements.,2025-03-23,2025-04-01,Low,Finance,Bob,1,Marketing,7.569853667031811,8
233,Schedule meeting with CEO.,2025-07-14,2025-07-15,Critical,Admin,Jack,18,"Admin, Research",5.860282541589919,3
234,Prepare presentation for Annual Summit.,2025-04-24,2025-05-14,Critical,Marketing,Grace,13,Marketing,4.018330924725743,8
235,Resolve customer ticket #TKT-3837 for login issue.,2025-02-19,,Critical,Support,Victor,17,Support,9.846408648143122,5
236,Prepare literature review on machine learning trends.,2025-01-25,2025-02-06,Low,Research,Lily,11,"Finance, Support",5.13164526027243,4
